Date,Open,High,Close,Low,Change %
43853,"3,619.90","3,639.00","3,677.00","3,591.20",-0.53%
43852,"3,639.10","3,579.40","3,676.30","3,488.30",1.67%
43851,"3,579.40","3,588.60","3,614.80","3,550.00",-0.19%
43850,"3,586.10","3,762.30","3,796.00","3,548.30",-4.62%
43849,"3,760.00","3,674.10","3,858.50","3,673.90",2.29%
43848,"3,675.70","3,722.50","3,723.90","3,652.40",-1.27%
43847,"3,723.00","3,671.30","3,725.00","3,610.00",1.41%
43846,"3,671.20","3,657.00","3,750.00","3,642.90",0.40%
43845,"3,656.50","3,749.30","3,769.50","3,625.10",-2.48%
43844,"3,749.30","3,591.00","3,798.70","3,581.80",4.41%
43843,"3,591.00","3,702.00","3,712.90","3,570.00",-3.00%
43842,"3,702.00","3,712.80","3,734.00","3,674.40",-0.38%
43841,"3,716.10","3,712.80","3,777.40","3,666.60",0.09%
43840,"3,712.80","4,083.30","4,136.10","3,687.20",-9.07%
43839,"4,083.20","4,100.00","4,165.50","4,036.00",-0.41%
43838,"4,100.00","4,113.90","4,210.00","4,056.20",-0.34%
43837,"4,113.90","4,170.90","4,196.90","4,078.50",-1.38%
43836,"4,171.50","3,911.00","4,214.50","3,892.90",6.66%
43835,"3,911.00","3,954.80","4,014.90","3,901.40",-1.11%
43834,"3,954.90","3,923.20","3,985.80","3,853.30",0.81%
43833,"3,923.20","4,049.90","4,055.10","3,882.00",-3.09%
43832,"4,048.50","3,963.10","4,082.20","3,920.10",2.16%
43831,"3,963.00","3,832.60","3,981.90","3,788.40",3.46%
44196,"3,830.50","3,976.70","3,986.90","3,779.50",-3.72%
44195,"3,978.30","3,893.80","4,003.00","3,845.20",2.35%
44194,"3,887.00","4,033.90","4,099.70","3,864.60",-3.71%
44193,"4,036.70","3,712.00","4,094.90","3,696.30",8.67%
44192,"3,714.70","3,930.00","3,954.90","3,688.00",-5.47%
44191,"3,929.80","3,909.70","3,990.00","3,812.10",0.51%
44190,"3,909.70","4,140.70","4,152.10","3,815.50",-5.68%
44189,"4,145.20","4,071.70","4,384.00","4,069.00",1.71%
44188,"4,075.70","4,135.00","4,210.00","4,036.80",-1.43%
44187,"4,135.00","3,975.90","4,147.30","3,919.50",4.00%
44186,"3,976.10","4,214.60","4,283.00","3,913.30",-5.66%
44185,"4,214.50","3,810.00","4,275.70","3,788.60",10.62%
44184,"3,810.00","3,780.10","4,041.10","3,758.00",0.79%
44183,"3,780.10","3,625.00","3,780.90","3,551.00",4.28%
44182,"3,625.10","3,299.90","3,711.50","3,285.50",9.85%
44181,"3,299.90","3,282.20","3,380.30","3,278.00",0.45%
44180,"3,285.10","3,281.60","3,323.80","3,216.10",0.07%
44179,"3,282.80","3,354.40","3,390.80","3,226.40",-2.13%
44178,"3,354.40","3,535.60","3,539.10","3,322.20",-5.13%
44177,"3,535.60","3,435.30","3,611.20","3,415.10",2.92%
44176,"3,435.30","3,523.50","3,549.60","3,384.00",-2.54%
44175,"3,524.90","3,642.10","3,697.90","3,475.80",-3.15%
44174,"3,639.60","3,506.00","3,766.60","3,469.70",3.81%
